sex; entity; period; age-group; c1yr; rs1yr; LL_rs1yr;UL_rs1yr;i_1yr; c5yr; rs5yr; LL_rs5yr; UL_rs5yr;i_5yr; c10yr; rs10yr; LL_rs10yr; UL_rs10yr;i_10yr;
1 ;20 ;1981 ;5 ;  0; 58; 43; 71;. ;  0; 21;  9; 41;. ;  0; * ; * ; * ;.
1 ;20 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;0 ;  0; 72; 68; 75;. ;  0; 42; 38; 47;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;1 ;  0; 85; 76; 90;. ;  0; 59; 48; 68;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;2 ;  0; 70; 62; 77;. ;  0; 45; 37; 54;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;3 ;  0; 74; 67; 80;. ;  0; 43; 36; 51;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;4 ;  0; 71; 63; 77;. ;  0; 36; 28; 45;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;5 ;  0; 61; 47; 73;. ;  0; 35; 19; 56;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;0 ;  0; 74; 71; 77;. ;  0; 47; 43; 52;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;1 ;  0; 90; 83; 94;. ;  0; 66; 56; 74;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;2 ;  0; 80; 73; 85;. ;  0; 55; 47; 62;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;3 ;  0; 75; 68; 80;. ;  0; 42; 35; 49;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;4 ;  0; 68; 61; 74;. ;  0; 43; 35; 52;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;5 ;  0; 63; 52; 73;. ;  0; 42; 27; 59;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;0 ;  0; 74; 70; 77;. ;  0; 49; 45; 54;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;1 ;  0; 85; 76; 91;. ;  0; 69; 58; 78;. ;  0; * ; * ; * ;.
